
1,5,195 W Oakland Ave,Salt Lake City,UT,84115,10:30 AM,21,
8,12,300 State St,Salt Lake City,UT,84103,EOD,9,
30,12,300 State St,Salt Lake City,UT,84103,10:30 AM,1,
2,9,2530 S 500 E,Salt Lake City,UT,84106,EOD,44,
7,2,1330 2100 S,Salt Lake City,UT,84106,EOD,8,
29,2,1330 2100 S,Salt Lake City,UT,84106,10:30 AM,2,
33,9,2530 S 500 E,Salt Lake City,UT,84106,EOD,1,
11,10,2600 Taylorsville Blvd,Salt Lake City,UT,84118,EOD,1,
23,23,5100 South 2700 West,Salt Lake City,UT,84118,EOD,5,
12,16,3575 W Valley Central Station bus Loop,West Valley City,UT,84119,EOD,1,
17,14,3148 S 1100 W,Salt Lake City,UT,84119,EOD,2,
31,15,3365 S 900 W,Salt Lake City,UT,84119,10:30 AM,1,
18,3,1488 4800 S,Salt Lake City,UT,84123,EOD,6,Can only be on truck 2
36,7,2300 Parkway Blvd,West Valley City,UT,84119,EOD,88,Can only be on truck 2
38,19,410 S State St,Salt Lake City,UT,84111,EOD,9,Can only be on truck 2
3,8,233 Canyon Rd,Salt Lake City,UT,84103,EOD,2,Can only be on truck 2
